Vivado Simulator 2018.3
Time resolution is 1 ps
Time=             1665000, State=00, A_time=15, B_time=18, LED=001100
Time=             1675000, State=00, A_time=14, B_time=17, LED=001100
Time=             1685000, State=00, A_time=13, B_time=16, LED=001100
Time=             1695000, State=00, A_time=12, B_time=15, LED=001100
Time=             1705000, State=00, A_time=11, B_time=14, LED=001100
Time=             1715000, State=00, A_time=10, B_time=13, LED=001100
Time=             1725000, State=00, A_time= 9, B_time=12, LED=001100
Time=             1735000, State=00, A_time= 8, B_time=11, LED=001100
Time=             1745000, State=00, A_time= 7, B_time=10, LED=001100
Time=             1755000, State=00, A_time= 6, B_time= 9, LED=001100
Time=             1765000, State=00, A_time= 5, B_time= 8, LED=001100
Time=             1775000, State=00, A_time= 4, B_time= 7, LED=001100
Time=             1785000, State=00, A_time= 3, B_time= 6, LED=001100
Time=             1795000, State=00, A_time= 2, B_time= 5, LED=001100
Time=             1805000, State=00, A_time= 1, B_time= 4, LED=001100
Time=             1815000, State=00, A_time= 0, B_time= 3, LED=001100
Time=             1825000, State=01, A_time= 2, B_time= 2, LED=010100
Time=             1835000, State=01, A_time= 1, B_time= 1, LED=010100
Time=             1845000, State=01, A_time= 0, B_time= 0, LED=010100
Time=             1855000, State=10, A_time=29, B_time=26, LED=100001
Time=             1865000, State=10, A_time=28, B_time=25, LED=100001
Time=             1875000, State=10, A_time=27, B_time=24, LED=100001
Time=             1885000, State=10, A_time=26, B_time=23, LED=100001
Time=             1895000, State=10, A_time=25, B_time=22, LED=100001
Time=             1905000, State=10, A_time=24, B_time=21, LED=100001
Time=             1915000, State=10, A_time=23, B_time=20, LED=100001
Time=             1925000, State=10, A_time=22, B_time=19, LED=100001
Time=             1935000, State=10, A_time=21, B_time=18, LED=100001
Time=             1945000, State=10, A_time=20, B_time=17, LED=100001
Time=             1955000, State=10, A_time=19, B_time=16, LED=100001
Time=             1965000, State=10, A_time=18, B_time=15, LED=100001
Time=             1975000, State=10, A_time=17, B_time=14, LED=100001
Time=             1985000, State=10, A_time=16, B_time=13, LED=100001
Time=             1995000, State=10, A_time=15, B_time=12, LED=100001
